Price,Close,High,Low,Open,Volume
Ticker,8306.T,8306.T,8306.T,8306.T,8306.T
Date,,,,,
2022-01-04 09:00:00+09:00,581.00927734375,581.0990975723586,566.0954454293417,569.6891319385527,68510200
2022-01-05 09:00:00+09:00,596.2824096679688,597.1808312420246,584.8724447103984,589.364552580678,75523400
2022-01-06 09:00:00+09:00,595.6535034179688,601.4034234242989,589.723942965123,599.2471897130998,58236800
2022-01-07 09:00:00+09:00,616.1375122070312,623.6842754573701,600.5948297490233,601.0440405416554,117726300
2022-01-11 09:00:00+09:00,630.1529541015625,630.1529541015625,608.4111396579517,623.2350965737811,108618200
2022-01-12 09:00:00+09:00,632.4888305664062,636.0825171037154,625.4811527857145,630.6919872977517,71469200
2022-01-13 09:00:00+09:00,641.6527099609375,641.8324052458344,628.9849326522882,631.5903771950373,73486600
2022-01-14 09:00:00+09:00,635.90283203125,639.0473078019396,630.24278661107,638.7777922743702,80653800
2022-01-17 09:00:00+09:00,642.8206787109375,650.9064734117039,638.0590550208804,638.0590550208804,69099500
2022-01-18 09:00:00+09:00,632.3989868164062,652.0743869752076,620.3601154300582,646.8635526569759,102817100
2022-01-19 09:00:00+09:00,620.5398559570312,631.5006112543049,618.1141064906606,623.1452458884386,70985400
2022-01-20 09:00:00+09:00,614.7899169921875,624.3132192728358,611.3759257288742,616.3172447465213,64345700
2022-01-21 09:00:00+09:00,606.1651000976562,609.8486069399314,596.2824619170774,609.0400603536131,63789400
2022-01-24 09:00:00+09:00,616.1375122070312,619.6413783236818,604.0088208059665,604.5479066583059,52327400
2022-01-25 09:00:00+09:00,605.1768798828125,609.129957588901,600.3254352456815,607.1534187358568,67486400
2022-01-26 09:00:00+09:00,612.8134155273438,617.7547348442154,609.8486349042826,611.0165721393905,46212300
2022-01-27 09:00:00+09:00,612.7235107421875,628.1763727133028,605.6259584050417,621.7975466650995,75455300
2022-01-28 09:00:00+09:00,629.4342041015625,630.1529853104144,617.7547223167153,621.7077996241711,71677700
2022-01-31 09:00:00+09:00,620.899169921875,623.5944348264735,615.5086401126781,620.0007482870088,55231400
2022-02-01 09:00:00+09:00,627.6373291015625,630.1529535350794,619.641409491698,620.8093466442283,54511800
2022-02-02 09:00:00+09:00,645.9651489257812,645.9651489257812,634.1958475623679,634.9145738959198,73382700
2022-02-03 09:00:00+09:00,646.2347412109375,647.4026784961087,636.621617706263,642.4613589674294,57881500
2022-02-04 09:00:00+09:00,651.9845581054688,653.6915262233904,646.5940285714596,651.3556520261072,67810200
2022-02-07 09:00:00+09:00,665.1016235351562,667.7070685951176,649.6487581665832,654.5002576453687,90208700
